product_id,warehouse_id,alert_type,severity,message
P0019,W004,LOW_INVENTORY,HIGH,Stock at/below safety stock (169 units).
P0029,W002,LOW_INVENTORY,HIGH,Stock at/below safety stock (93 units).
P0002,W004,LOW_INVENTORY,HIGH,Stock at/below safety stock (45 units).
P0058,W003,LOW_INVENTORY,HIGH,Stock at/below safety stock (34 units).
P0040,W001,LOW_INVENTORY,HIGH,Stock at/below safety stock (67 units).
P0045,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 86 units (z=3.23).
P0055,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 72 units (z=3.40).
P0005,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 22 units (z=3.01).
P0030,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 40 units (z=4.00).
P0038,W006,LOW_INVENTORY,HIGH,Stock at/below safety stock (39 units).
P0006,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 12 units (z=3.44).
P0009,W002,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 22 units (z=3.11).
P0036,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 21 units (z=3.20).
P0059,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 28 units (z=3.07).
P0023,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 44 units (z=3.07).
P0008,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-28: 29 units (z=3.02).
P0037,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 44 units (z=3.51).
P0025,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 77 units (z=3.35).
P0060,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 86 units (z=3.22).
P0024,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 114 units (z=3.22).
P0048,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 65 units (z=4.66).
P0016,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 27 units (z=4.52).
P0051,W002,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 31 units (z=3.69).
P0033,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 92 units (z=3.13).
P0040,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 89 units (z=4.13).
P0052,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 55 units (z=3.07).
P0015,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 15 units (z=3.23).
P0027,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 25 units (z=3.31).
P0058,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-27: 84 units (z=3.21).
P0031,W004,LOW_INVENTORY,HIGH,Stock at/below safety stock (40 units).
P0031,W003,LOW_INVENTORY,HIGH,Stock at/below safety stock (71 units).
P0033,W002,LOW_INVENTORY,HIGH,Stock at/below safety stock (43 units).
P0017,W002,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 58 units (z=4.33).
P0021,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 66 units (z=4.39).
P0003,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 31 units (z=3.77).
P0049,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 50 units (z=3.77).
P0049,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 44 units (z=3.58).
P0002,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 52 units (z=3.98).
P0053,W002,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 24 units (z=3.27).
P0032,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 37 units (z=3.97).
P0032,W002,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 62 units (z=4.60).
P0051,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 76 units (z=3.15).
P0048,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 86 units (z=3.15).
P0017,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 56 units (z=6.66).
P0007,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 17 units (z=3.16).
P0033,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 75 units (z=3.11).
P0049,W002,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 41 units (z=4.32).
P0049,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 56 units (z=3.47).
P0017,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 21 units (z=4.36).
P0050,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 78 units (z=4.70).
P0032,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 56 units (z=3.94).
P0016,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 25 units (z=3.44).
P0050,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 59 units (z=3.38).
P0032,W006,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 32 units (z=4.22).
P0003,W003,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 16 units (z=5.59).
P0022,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 19 units (z=3.19).
P0016,W005,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 26 units (z=4.40).
P0032,W004,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 53 units (z=3.47).
P0051,W001,DEMAND_SPIKE,HIGH,Demand spike on 2025-12-25: 66 units (z=5.45).
P0012,W006,OVERSTOCK,MEDIUM,Stock (1166) far exceeds reorder point.
P0016,W002,OVERSTOCK,MEDIUM,Stock (1021) far exceeds reorder point.
P0012,W002,OVERSTOCK,MEDIUM,Stock (1255) far exceeds reorder point.
P0014,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0014,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0060,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0060,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0046,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0049,W002,OVERSTOCK,MEDIUM,Stock (1302) far exceeds reorder point.
P0046,W006,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0048,W003,OVERSTOCK,MEDIUM,Stock (1082) far exceeds reorder point.
P0046,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0046,W004,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0049,W006,OVERSTOCK,MEDIUM,Stock (908) far exceeds reorder point.
P0046,W003,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0046,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0052,W005,OVERSTOCK,MEDIUM,Stock (1423) far exceeds reorder point.
P0030,W004,OVERSTOCK,MEDIUM,Stock (162) far exceeds reorder point.
P0051,W002,OVERSTOCK,MEDIUM,Stock (591) far exceeds reorder point.
P0060,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0009,W006,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0015,W002,OVERSTOCK,MEDIUM,Stock (2331) far exceeds reorder point.
P0009,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0009,W004,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0009,W003,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0009,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0009,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0011,W005,OVERSTOCK,MEDIUM,Stock (607) far exceeds reorder point.
P0011,W006,OVERSTOCK,MEDIUM,Stock (979) far exceeds reorder point.
P0014,W003,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0014,W006,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0014,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0014,W004,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0055,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0056,W006,OVERSTOCK,MEDIUM,Stock (475) far exceeds reorder point.
P0053,W005,OVERSTOCK,MEDIUM,Stock (2119) far exceeds reorder point.
P0060,W003,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0034,W002,OVERSTOCK,MEDIUM,Stock (1200) far exceeds reorder point.
P0034,W001,OVERSTOCK,MEDIUM,Stock (431) far exceeds reorder point.
P0032,W006,OVERSTOCK,MEDIUM,Stock (223) far exceeds reorder point.
P0032,W005,OVERSTOCK,MEDIUM,Stock (628) far exceeds reorder point.
P0034,W003,OVERSTOCK,MEDIUM,Stock (426) far exceeds reorder point.
P0016,W003,OVERSTOCK,MEDIUM,Stock (731) far exceeds reorder point.
P0017,W005,OVERSTOCK,MEDIUM,Stock (884) far exceeds reorder point.
P0060,W004,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0028,W005,OVERSTOCK,MEDIUM,Stock (1125) far exceeds reorder point.
P0030,W001,OVERSTOCK,MEDIUM,Stock (252) far exceeds reorder point.
P0030,W002,OVERSTOCK,MEDIUM,Stock (1052) far exceeds reorder point.
P0026,W005,OVERSTOCK,MEDIUM,Stock (980) far exceeds reorder point.
P0025,W002,OVERSTOCK,MEDIUM,Stock (775) far exceeds reorder point.
P0026,W002,OVERSTOCK,MEDIUM,Stock (871) far exceeds reorder point.
P0030,W003,OVERSTOCK,MEDIUM,Stock (398) far exceeds reorder point.
P0030,W006,OVERSTOCK,MEDIUM,Stock (691) far exceeds reorder point.
P0015,W005,OVERSTOCK,MEDIUM,Stock (1292) far exceeds reorder point.
P0005,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0005,W003,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0005,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0005,W005,OVERSTOCK,MEDIUM,Stock (723) far exceeds reorder point.
P0005,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0005,W006,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0005,W004,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0006,W001,OVERSTOCK,MEDIUM,Stock (654) far exceeds reorder point.
P0006,W002,OVERSTOCK,MEDIUM,Stock (652) far exceeds reorder point.
P0006,W006,OVERSTOCK,MEDIUM,Stock (515) far exceeds reorder point.
P0006,W003,OVERSTOCK,MEDIUM,Stock (735) far exceeds reorder point.
P0003,W003,OVERSTOCK,MEDIUM,Stock (819) far exceeds reorder point.
P0003,W005,OVERSTOCK,MEDIUM,Stock (1660) far exceeds reorder point.
P0007,W006,OVERSTOCK,MEDIUM,Stock (1056) far exceeds reorder point.
P0021,W005,OVERSTOCK,MEDIUM,Stock (1671) far exceeds reorder point.
P0044,W005,OVERSTOCK,MEDIUM,Stock (937) far exceeds reorder point.
P0041,W003,OVERSTOCK,MEDIUM,Stock (769) far exceeds reorder point.
P0041,W005,OVERSTOCK,MEDIUM,Stock (801) far exceeds reorder point.
P0038,W005,OVERSTOCK,MEDIUM,Stock (1526) far exceeds reorder point.
P0044,W006,OVERSTOCK,MEDIUM,Stock (873) far exceeds reorder point.
P0044,W004,OVERSTOCK,MEDIUM,Stock (864) far exceeds reorder point.
P0060,W006,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0055,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0055,W006,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0056,W001,OVERSTOCK,MEDIUM,Stock (616) far exceeds reorder point.
P0056,W002,OVERSTOCK,MEDIUM,Stock (736) far exceeds reorder point.
P0056,W005,OVERSTOCK,MEDIUM,Stock (1777) far exceeds reorder point.
P0030,W005,OVERSTOCK,MEDIUM,Stock (789) far exceeds reorder point.
P0055,W003,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0055,W004,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0055,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.73) with 29-day lead time.
P0036,W001,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0035,W005,OVERSTOCK,MEDIUM,Stock (468) far exceeds reorder point.
P0035,W002,OVERSTOCK,MEDIUM,Stock (552) far exceeds reorder point.
P0036,W002,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
P0036,W005,SUPPLIER_DELAY_RISK,MEDIUM,Low-reliability supplier (0.61) with 26-day lead time.
