month,category,actual_demand,predicted_demand
2023-01-31,0,52303,52352.098
2023-01-31,1,57533,57857.668
2023-01-31,2,62750,63201.85
2023-01-31,3,61600,61847.746
2023-01-31,4,77060,77447.195
2023-01-31,5,39308,39386.34
2023-02-28,0,54753,54583.39
2023-02-28,1,60848,60445.7
2023-02-28,2,66963,66868.04
2023-02-28,3,64598,64448.863
2023-02-28,4,79816,79781.92
2023-02-28,5,42549,42626.637
2023-03-31,0,65241,65323.043
2023-03-31,1,71005,71265.516
2023-03-31,2,77801,77423.47
2023-03-31,3,75811,75514.336
2023-03-31,4,93011,93181.164
2023-03-31,5,47892,48323.56
2023-04-30,0,64083,64012.496
2023-04-30,1,71305,71117.35
2023-04-30,2,75951,76030.336
2023-04-30,3,74485,74779.85
2023-04-30,4,91320,91488.375
2023-04-30,5,47221,46990.812
2023-05-31,0,60434,60619.066
2023-05-31,1,67293,67349.27
2023-05-31,2,72781,72809.35
2023-05-31,3,71172,70946.95
2023-05-31,4,88679,89121.33
2023-05-31,5,45434,45394.633
2023-06-30,0,52552,52347.934
2023-06-30,1,59634,60238.28
2023-06-30,2,63687,63630.746
2023-06-30,3,61187,61159.664
2023-06-30,4,75827,76023.7
2023-06-30,5,38873,38782.84
2023-07-31,0,47451,47518.52
2023-07-31,1,51999,52149.973
2023-07-31,2,57375,57748.336
2023-07-31,3,55735,55813.29
2023-07-31,4,68370,68050.62
2023-07-31,5,35147,35358.453
2023-08-31,0,39579,39697.625
2023-08-31,1,43766,43825.06
2023-08-31,2,47735,47460.44
2023-08-31,3,46351,46196.434
2023-08-31,4,56857,56920.605
2023-08-31,5,30404,30623.424
2023-09-30,0,35060,34966.742
2023-09-30,1,38319,38071.277
2023-09-30,2,41750,41942.246
2023-09-30,3,42050,42364.81
2023-09-30,4,50422,50431.734
2023-09-30,5,26824,27132.105
2023-10-31,0,35918,35886.453
2023-10-31,1,39578,39412.535
2023-10-31,2,42961,42653.066
2023-10-31,3,42421,42544.047
2023-10-31,4,51586,51618.105
2023-10-31,5,26763,26736.059
2023-11-30,0,41603,41402.105
2023-11-30,1,43920,43751.812
2023-11-30,2,49899,49836.734
2023-11-30,3,47386,47158.754
2023-11-30,4,57661,57262.86
2023-11-30,5,31142,31228.44
2023-12-31,0,48657,48646.742
2023-12-31,1,52574,52393.78
2023-12-31,2,58290,58594.855
2023-12-31,3,58155,57946.09
2023-12-31,4,69236,68985.25
2023-12-31,5,35840,35949.973
2024-01-31,0,55098,55323.08
2024-01-31,1,59573,59208.84
2024-01-31,2,65959,65456.625
2024-01-31,3,65238,65362.805
2024-01-31,4,78781,78051.22
2024-01-31,5,40534,40239.65
2024-02-29,0,56701,56631.688
2024-02-29,1,62187,61891.105
2024-02-29,2,70762,70896.28
2024-02-29,3,68342,69047.17
2024-02-29,4,81671,81709.65
2024-02-29,5,42393,42415.38
2024-03-31,0,66143,66178.664
2024-03-31,1,72127,71982.47
2024-03-31,2,80052,80386.87
2024-03-31,3,77055,77154.03
2024-03-31,4,94211,94174.88
2024-03-31,5,50214,50244.742
2024-04-30,0,62218,62143.523
2024-04-30,1,68169,68078.97
2024-04-30,2,74494,74688.2
2024-04-30,3,72818,72821.21
2024-04-30,4,89651,89693.37
2024-04-30,5,46673,46604.32
2024-05-31,0,61716,61820.043
2024-05-31,1,66739,66266.336
2024-05-31,2,75287,75207.266
2024-05-31,3,71336,70952.6
2024-05-31,4,87083,87271.7
2024-05-31,5,46747,46900.06
2024-06-30,0,53272,53118.977
2024-06-30,1,59775,60107.59
2024-06-30,2,66065,66527.45
2024-06-30,3,62448,62395.695
2024-06-30,4,76559,76038.055
2024-06-30,5,39613,39609.188
2024-07-31,0,46417,46565.734
2024-07-31,1,51459,51979.66
2024-07-31,2,56019,56303.348
2024-07-31,3,55088,55380.42
2024-07-31,4,67593,68087.62
2024-07-31,5,34704,34707.645
2024-08-31,0,40061,39927.992
2024-08-31,1,44458,44628.535
2024-08-31,2,47389,47415.664
2024-08-31,3,46564,46633.72
2024-08-31,4,56491,56472.96
2024-08-31,5,29655,29506.44
2024-09-30,0,35626,35712.492
2024-09-30,1,38107,38046.62
2024-09-30,2,42135,41938.242
2024-09-30,3,40629,40575.727
2024-09-30,4,51526,51439.258
2024-09-30,5,26065,25957.988
2024-10-31,0,36183,36136.79
2024-10-31,1,39569,39263.914
2024-10-31,2,43489,44032.89
2024-10-31,3,41960,41778.332
2024-10-31,4,51634,51819.457
2024-10-31,5,26572,26598.607
2024-11-30,0,41602,41469.715
2024-11-30,1,43927,43901.62
2024-11-30,2,48464,48435.63
2024-11-30,3,47061,47021.766
2024-11-30,4,59713,59778.81
2024-11-30,5,30229,30143.574
2024-12-31,0,48163,48515.566
2024-12-31,1,52959,52624.13
2024-12-31,2,58306,58236.184
2024-12-31,3,55820,55735.504
2024-12-31,4,69411,69440.266
2024-12-31,5,35698,35641.613
2025-01-31,0,55448,55266.695
2025-01-31,1,60346,60227.496
2025-01-31,2,66151,66288.07
2025-01-31,3,64486,64047.535
2025-01-31,4,77766,77518.35
2025-01-31,5,40400,40383.992
2025-02-28,0,55682,55908.973
2025-02-28,1,60640,60260.863
2025-02-28,2,67515,67669.72
2025-02-28,3,67207,66871.88
2025-02-28,4,78548,78221.836
2025-02-28,5,40537,40550.742
2025-03-31,0,66501,66656.1
2025-03-31,1,72286,72114.25
2025-03-31,2,78308,78139.07
2025-03-31,3,76789,77379.11
2025-03-31,4,94950,94764.91
2025-03-31,5,48405,48392.54
2025-04-30,0,65479,65468.28
2025-04-30,1,69403,69261.02
2025-04-30,2,74605,74532.49
2025-04-30,3,75244,75344.41
2025-04-30,4,89559,89393.21
2025-04-30,5,47165,47269.117
2025-05-31,0,64850,64853.367
2025-05-31,1,67124,67200.086
2025-05-31,2,74020,73922.305
2025-05-31,3,71501,71763.19
2025-05-31,4,88413,88160.914
2025-05-31,5,45955,45977.92
2025-06-30,0,53966,54608.51
2025-06-30,1,57906,57920.816
2025-06-30,2,63298,63171.402
2025-06-30,3,62661,62432.047
2025-06-30,4,75658,75649.195
2025-06-30,5,39487,39422.656
2025-07-31,0,46758,46618.516
2025-07-31,1,51636,51601.797
2025-07-31,2,56863,56696.844
2025-07-31,3,54732,55371.746
2025-07-31,4,67413,67316.72
2025-07-31,5,34519,34723.285
2025-08-31,0,40136,40078.043
2025-08-31,1,44651,44874.543
2025-08-31,2,49255,49864.89
2025-08-31,3,48690,48825.89
2025-08-31,4,58045,58148.977
2025-08-31,5,30009,29895.705
2025-09-30,0,34576,34466.836
2025-09-30,1,37773,37985.97
2025-09-30,2,42007,41950.016
2025-09-30,3,40597,40563.363
2025-09-30,4,49335,49296.88
2025-09-30,5,25567,25468.256
2025-10-31,0,35855,35934.402
2025-10-31,1,39586,39259.84
2025-10-31,2,42431,42571.918
2025-10-31,3,42024,41866.344
2025-10-31,4,51657,51107.625
2025-10-31,5,26443,26436.707
2025-11-30,0,42288,41976.07
2025-11-30,1,45710,45589.527
2025-11-30,2,48571,48241.613
2025-11-30,3,47972,47907.87
2025-11-30,4,58182,57870.605
2025-11-30,5,30235,30198.91
2025-12-31,0,48017,48202.6
2025-12-31,1,52035,52085.63
2025-12-31,2,56643,56256.598
2025-12-31,3,57201,57693.06
2025-12-31,4,67982,67792.6
2025-12-31,5,35201,34881.15
