date,product_id,warehouse_id,units_sold,predicted_demand
2023-01-02,P0001,W001,8,13.552056
2023-01-03,P0001,W001,11,9.803528
2023-01-04,P0001,W001,14,11.247816
2023-01-05,P0001,W001,14,11.879347
2023-01-06,P0001,W001,8,11.605692
2023-01-07,P0001,W001,13,14.928514
2023-01-08,P0001,W001,15,15.163602
2023-01-09,P0001,W001,9,11.747675
2023-01-10,P0001,W001,10,10.904745
2023-01-11,P0001,W001,11,11.1625595
2023-01-12,P0001,W001,14,11.132435
2023-01-13,P0001,W001,11,10.881411
2023-01-14,P0001,W001,15,14.711353
2023-01-15,P0001,W001,16,15.208246
2023-01-16,P0001,W001,12,11.500573
2023-01-17,P0001,W001,11,11.365499
2023-01-18,P0001,W001,9,11.802166
2023-01-19,P0001,W001,13,11.540834
2023-01-20,P0001,W001,12,11.150789
2023-01-21,P0001,W001,13,14.682223
2023-01-22,P0001,W001,14,14.970508
2023-01-23,P0001,W001,13,11.584963
2023-01-24,P0001,W001,13,11.54334
2023-01-25,P0001,W001,11,11.990349
2023-01-26,P0001,W001,11,12.305127
2023-01-27,P0001,W001,12,11.707287
2023-01-28,P0001,W001,17,15.480892
2023-01-29,P0001,W001,19,15.921091
2023-01-30,P0001,W001,12,12.273468
2023-01-31,P0001,W001,14,12.014689
2023-02-01,P0001,W001,14,12.643156
2023-02-02,P0001,W001,13,12.870352
2023-02-03,P0001,W001,10,12.586655
2023-02-04,P0001,W001,14,16.604675
2023-02-05,P0001,W001,18,16.78451
2023-02-06,P0001,W001,9,12.91991
2023-02-07,P0001,W001,13,12.313623
2023-02-08,P0001,W001,14,12.804689
2023-02-09,P0001,W001,13,12.884194
2023-02-10,P0001,W001,11,12.469338
2023-02-11,P0001,W001,14,16.493448
2023-02-12,P0001,W001,18,16.6318
2023-02-13,P0001,W001,14,12.729318
2023-02-14,P0001,W001,12,12.568173
2023-02-15,P0001,W001,15,12.860132
2023-02-16,P0001,W001,14,12.954451
2023-02-17,P0001,W001,16,12.585847
2023-02-18,P0001,W001,18,17.334036
2023-02-19,P0001,W001,16,18.005041
2023-02-20,P0001,W001,13,13.516202
2023-02-21,P0001,W001,9,13.248004
2023-02-22,P0001,W001,13,13.475544
2023-02-23,P0001,W001,13,13.369844
2023-02-24,P0001,W001,10,12.849952
2023-02-25,P0001,W001,17,16.729313
2023-02-26,P0001,W001,21,17.402124
2023-02-27,P0001,W001,12,13.359158
2023-02-28,P0001,W001,11,12.968097
2023-03-01,P0001,W001,15,13.438689
2023-03-02,P0001,W001,15,13.612357
2023-03-03,P0001,W001,19,13.413676
2023-03-04,P0001,W001,14,18.134636
2023-03-05,P0001,W001,19,18.102613
2023-03-06,P0001,W001,14,13.739142
2023-03-07,P0001,W001,14,13.562629
2023-03-08,P0001,W001,15,13.99847
2023-03-09,P0001,W001,13,14.210393
2023-03-10,P0001,W001,10,13.55487
2023-03-11,P0001,W001,15,17.775633
2023-03-12,P0001,W001,21,18.158989
2023-03-13,P0001,W001,16,13.865806
2023-03-14,P0001,W001,13,13.584919
2023-03-15,P0001,W001,15,14.165127
2023-03-16,P0001,W001,19,14.236391
2023-03-17,P0001,W001,14,13.9935665
2023-03-18,P0001,W001,18,18.762693
2023-03-19,P0001,W001,18,19.202059
2023-03-20,P0001,W001,15,14.347382
2023-03-21,P0001,W001,13,14.01362
2023-03-22,P0001,W001,15,14.354466
2023-03-23,P0001,W001,10,14.308556
2023-03-24,P0001,W001,14,13.476848
2023-03-25,P0001,W001,21,22.14771
2023-03-26,P0001,W001,17,19.172602
2023-03-27,P0001,W001,13,14.251146
2023-03-28,P0001,W001,12,13.885229
2023-03-29,P0001,W001,12,13.813287
2023-03-30,P0001,W001,9,13.616071
2023-03-31,P0001,W001,13,12.974161
2023-04-01,P0001,W001,21,17.522438
2023-04-02,P0001,W001,17,17.996523
2023-04-03,P0001,W001,15,13.230782
2023-04-04,P0001,W001,11,12.982484
2023-04-05,P0001,W001,11,13.206644
2023-04-06,P0001,W001,12,12.959879
2023-04-07,P0001,W001,12,12.945542
2023-04-08,P0001,W001,15,17.185783
2023-04-09,P0001,W001,19,16.947182
2023-04-10,P0001,W001,17,12.9265995
2023-04-11,P0001,W001,12,12.6904125
2023-04-12,P0001,W001,10,12.900411
2023-04-13,P0001,W001,15,12.867892
2023-04-14,P0001,W001,11,12.827578
2023-04-15,P0001,W001,15,17.33747
2023-04-16,P0001,W001,19,17.12626
2023-04-17,P0001,W001,13,12.820513
2023-04-18,P0001,W001,12,12.435375
2023-04-19,P0001,W001,14,12.604191
2023-04-20,P0001,W001,13,12.835058
2023-04-21,P0001,W001,17,12.328587
2023-04-22,P0001,W001,16,17.168207
2023-04-23,P0001,W001,15,17.752228
2023-04-24,P0001,W001,13,13.158508
2023-04-25,P0001,W001,13,12.4142475
2023-04-26,P0001,W001,15,13.030121
2023-04-27,P0001,W001,9,13.254642
2023-04-28,P0001,W001,14,12.402654
2023-04-29,P0001,W001,16,16.6626
2023-04-30,P0001,W001,19,17.062117
2023-05-01,P0001,W001,13,12.942921
2023-05-02,P0001,W001,14,12.46536
2023-05-03,P0001,W001,12,13.096912
2023-05-04,P0001,W001,14,12.859562
2023-05-05,P0001,W001,16,12.600859
2023-05-06,P0001,W001,15,17.124447
2023-05-07,P0001,W001,17,17.706144
2023-05-08,P0001,W001,12,13.161096
2023-05-09,P0001,W001,16,12.6743555
2023-05-10,P0001,W001,12,13.054703
2023-05-11,P0001,W001,12,13.082383
2023-05-12,P0001,W001,12,12.738636
2023-05-13,P0001,W001,16,16.941404
2023-05-14,P0001,W001,15,17.318394
2023-05-15,P0001,W001,12,12.615158
2023-05-16,P0001,W001,13,12.47658
2023-05-17,P0001,W001,13,12.4337435
2023-05-18,P0001,W001,14,12.650925
2023-05-19,P0001,W001,12,12.220767
2023-05-20,P0001,W001,16,16.45761
2023-05-21,P0001,W001,17,16.783482
2023-05-22,P0001,W001,17,12.530541
2023-05-23,P0001,W001,11,12.40844
2023-05-24,P0001,W001,16,12.725804
2023-05-25,P0001,W001,10,12.783612
2023-05-26,P0001,W001,13,12.08914
2023-05-27,P0001,W001,15,16.71678
2023-05-28,P0001,W001,14,16.855377
2023-05-29,P0001,W001,14,12.503203
2023-05-30,P0001,W001,13,11.929919
2023-05-31,P0001,W001,11,12.573162
2023-06-01,P0001,W001,8,12.07066
2023-06-02,P0001,W001,11,11.426596
2023-06-03,P0001,W001,16,15.445511
2023-06-04,P0001,W001,16,15.70111
2023-06-05,P0001,W001,13,11.68617
2023-06-06,P0001,W001,15,11.175942
2023-06-07,P0001,W001,13,11.763898
2023-06-08,P0001,W001,13,11.647579
2023-06-09,P0001,W001,12,11.574199
2023-06-10,P0001,W001,18,15.7729435
2023-06-11,P0001,W001,16,16.310661
2023-06-12,P0001,W001,13,12.302258
2023-06-13,P0001,W001,15,11.811939
2023-06-14,P0001,W001,12,12.28647
2023-06-15,P0001,W001,11,12.372212
2023-06-16,P0001,W001,12,11.780918
2023-06-17,P0001,W001,17,15.910995
2023-06-18,P0001,W001,16,16.11747
2023-06-19,P0001,W001,13,12.104887
2023-06-20,P0001,W001,10,11.833646
2023-06-21,P0001,W001,10,11.821917
2023-06-22,P0001,W001,10,11.768343
2023-06-23,P0001,W001,9,11.211736
2023-06-24,P0001,W001,14,14.630216
2023-06-25,P0001,W001,13,14.925624
2023-06-26,P0001,W001,13,10.851773
2023-06-27,P0001,W001,9,10.512424
2023-06-28,P0001,W001,13,10.590209
2023-06-29,P0001,W001,9,10.8078
2023-06-30,P0001,W001,9,10.50074
2023-07-01,P0001,W001,12,13.614966
2023-07-02,P0001,W001,18,13.653156
2023-07-03,P0001,W001,10,10.5081625
2023-07-04,P0001,W001,15,13.678963
2023-07-05,P0001,W001,10,10.463363
2023-07-06,P0001,W001,10,10.605705
2023-07-07,P0001,W001,9,10.317261
2023-07-08,P0001,W001,13,13.593858
2023-07-09,P0001,W001,14,13.718384
2023-07-10,P0001,W001,13,10.175313
2023-07-11,P0001,W001,7,9.966978
2023-07-12,P0001,W001,12,9.956942
2023-07-13,P0001,W001,11,10.018873
2023-07-14,P0001,W001,9,9.661708
2023-07-15,P0001,W001,12,13.021716
2023-07-16,P0001,W001,15,13.335638
2023-07-17,P0001,W001,10,9.96652
2023-07-18,P0001,W001,7,9.633484
2023-07-19,P0001,W001,10,9.642514
2023-07-20,P0001,W001,11,9.489822
2023-07-21,P0001,W001,11,9.253147
2023-07-22,P0001,W001,11,12.790354
2023-07-23,P0001,W001,10,12.783287
2023-07-24,P0001,W001,9,9.241976
2023-07-25,P0001,W001,14,8.931725
2023-07-26,P0001,W001,7,9.535015
2023-07-27,P0001,W001,8,9.324073
