month,product_id,warehouse_id,actual_demand,predicted_demand
2023-01-31,P0001,W001,375,375.7628
2023-01-31,P0001,W002,906,918.10004
2023-01-31,P0001,W003,421,412.99472
2023-01-31,P0001,W004,793,780.7005
2023-01-31,P0001,W005,376,385.24658
2023-01-31,P0001,W006,483,480.8609
2023-01-31,P0002,W001,960,962.3158
2023-01-31,P0002,W002,603,607.4961
2023-01-31,P0002,W003,808,826.6972
2023-01-31,P0002,W004,878,888.7343
2023-01-31,P0002,W005,825,838.29504
2023-01-31,P0002,W006,893,921.41266
2023-01-31,P0003,W001,613,636.46655
2023-01-31,P0003,W002,537,534.8894
2023-01-31,P0003,W003,281,286.9336
2023-01-31,P0003,W004,556,568.08826
2023-01-31,P0003,W005,566,565.942
2023-01-31,P0003,W006,559,547.0506
2023-01-31,P0004,W001,1021,1058.329
2023-01-31,P0004,W002,2020,1990.5896
2023-01-31,P0004,W003,1707,1678.079
2023-01-31,P0004,W004,1621,1624.5171
2023-01-31,P0004,W005,2194,2190.4126
2023-01-31,P0004,W006,1383,1311.9095
2023-01-31,P0005,W001,176,180.8963
2023-01-31,P0005,W002,301,294.63315
2023-01-31,P0005,W003,453,438.53223
2023-01-31,P0005,W004,454,449.8988
2023-01-31,P0005,W005,265,269.69748
2023-01-31,P0005,W006,304,300.12186
2023-01-31,P0006,W001,337,337.16748
2023-01-31,P0006,W002,461,450.13376
2023-01-31,P0006,W003,495,499.3104
2023-01-31,P0006,W004,252,254.61047
2023-01-31,P0006,W005,551,543.07135
2023-01-31,P0006,W006,385,390.55112
2023-01-31,P0007,W001,331,333.92105
2023-01-31,P0007,W002,857,845.6817
2023-01-31,P0007,W003,395,396.46597
2023-01-31,P0007,W004,926,969.1397
2023-01-31,P0007,W005,593,599.7562
2023-01-31,P0007,W006,337,345.47382
2023-01-31,P0008,W001,693,686.33325
2023-01-31,P0008,W002,1453,1485.1447
2023-01-31,P0008,W003,845,854.0824
2023-01-31,P0008,W004,787,821.0067
2023-01-31,P0008,W005,839,814.9026
2023-01-31,P0008,W006,1486,1480.4738
2023-01-31,P0009,W001,352,353.33148
2023-01-31,P0009,W002,513,516.86676
2023-01-31,P0009,W003,720,717.8807
2023-01-31,P0009,W004,708,747.80164
2023-01-31,P0009,W005,972,944.83234
2023-01-31,P0009,W006,437,442.0241
2023-01-31,P0010,W001,2335,2322.3613
2023-01-31,P0010,W002,1122,1184.9023
2023-01-31,P0010,W003,2451,2437.9902
2023-01-31,P0010,W004,1584,1610.8453
2023-01-31,P0010,W005,2031,2066.991
2023-01-31,P0010,W006,2099,2162.276
2023-01-31,P0011,W001,405,392.79474
2023-01-31,P0011,W002,382,377.15555
2023-01-31,P0011,W003,825,821.2738
2023-01-31,P0011,W004,390,388.76346
2023-01-31,P0011,W005,359,349.97226
2023-01-31,P0011,W006,761,765.55927
2023-01-31,P0012,W001,643,626.848
