month,region,actual_demand,predicted_demand
2023-01-31,0,62392,62786.746
2023-01-31,1,58668,58730.555
2023-01-31,2,60373,60566.01
2023-01-31,3,116292,117133.25
2023-01-31,4,52829,52876.336
2023-02-28,0,65361,65371.8
2023-02-28,1,62044,62003.797
2023-02-28,2,63572,63334.94
2023-02-28,3,122858,122676.99
2023-02-28,4,55692,55367.023
2023-03-31,0,76653,76672.17
2023-03-31,1,71962,72007.586
2023-03-31,2,74087,74112.7
2023-03-31,3,142559,142729.77
2023-03-31,4,65500,65508.86
2023-04-30,0,75232,75284.625
2023-04-30,1,70783,70713.984
2023-04-30,2,73202,73140.1
2023-04-30,3,141007,140996.69
2023-04-30,4,64141,64283.812
2023-05-31,0,71681,71684.82
2023-05-31,1,67974,67936.26
2023-05-31,2,69932,69997.62
2023-05-31,3,134955,135438.97
2023-05-31,4,61251,61182.94
2023-06-30,0,62618,62835.55
2023-06-30,1,59011,59334.62
2023-06-30,2,60512,60501.46
2023-06-30,3,115773,115562.87
2023-06-30,4,53846,53948.676
2023-07-31,0,56198,56439.71
2023-07-31,1,52449,52379.176
2023-07-31,2,54743,54935.234
2023-07-31,3,104627,104659.58
2023-07-31,4,48060,48225.49
2023-08-31,0,46881,46938.016
2023-08-31,1,44250,43915.72
2023-08-31,2,45610,45672.582
2023-08-31,3,87595,87682.46
2023-08-31,4,40356,40514.81
2023-09-30,0,41572,41595.81
2023-09-30,1,39243,39372.145
2023-09-30,2,40294,40298.15
2023-09-30,3,77579,77826.88
2023-09-30,4,35737,35815.92
2023-10-31,0,42745,42848.906
2023-10-31,1,39814,39689.438
2023-10-31,2,41192,41102.31
2023-10-31,3,79179,78981.63
2023-10-31,4,36297,36227.977
2023-11-30,0,48241,48196.277
2023-11-30,1,45130,44908.227
2023-11-30,2,46874,46667.844
2023-11-30,3,90466,90302.42
2023-11-30,4,40900,40565.94
2023-12-31,0,57141,57187.223
2023-12-31,1,54278,54105.17
2023-12-31,2,55763,55709.367
2023-12-31,3,106567,106561.195
2023-12-31,4,49003,48953.742
2024-01-31,0,64904,64704.61
2024-01-31,1,61059,60763.81
2024-01-31,2,62747,62365.96
2024-01-31,3,120881,120413.65
2024-01-31,4,55592,55394.184
2024-02-29,0,67647,67844.98
2024-02-29,1,63874,63825.715
2024-02-29,2,65698,65672.42
2024-02-29,3,127167,127503.68
2024-02-29,4,57670,57744.473
2024-03-31,0,77609,77313.38
2024-03-31,1,73575,73630.74
2024-03-31,2,76121,76259.09
2024-03-31,3,145730,145920.78
2024-03-31,4,66767,66997.664
2024-04-30,0,74212,74433.484
2024-04-30,1,69159,69127.63
2024-04-30,2,71343,71440.17
2024-04-30,3,136886,136638.89
2024-04-30,4,62423,62389.41
2024-05-31,0,72828,73207.85
2024-05-31,1,67837,67374.47
2024-05-31,2,70557,70444.586
2024-05-31,3,136128,136304.58
2024-05-31,4,61558,61086.516
2024-06-30,0,62979,62685.73
