week_ending,product_id,warehouse_id,actual_demand,predicted_demand
2023-01-08,P0001,W001,83,88.18056
2023-01-08,P0001,W002,214,197.97127
2023-01-08,P0001,W003,85,83.80936
2023-01-08,P0001,W004,178,166.71054
2023-01-08,P0001,W005,85,90.87082
2023-01-08,P0001,W006,111,101.88693
2023-01-08,P0002,W001,215,212.82866
2023-01-08,P0002,W002,129,136.16765
2023-01-08,P0002,W003,189,190.90714
2023-01-08,P0002,W004,193,202.20154
2023-01-08,P0002,W005,181,195.95885
2023-01-08,P0002,W006,199,206.78914
2023-01-08,P0003,W001,132,155.81448
2023-01-08,P0003,W002,121,116.84514
2023-01-08,P0003,W003,59,64.74913
2023-01-08,P0003,W004,129,129.22408
2023-01-08,P0003,W005,128,128.13527
2023-01-08,P0003,W006,120,114.206604
2023-01-08,P0004,W001,231,242.26512
2023-01-08,P0004,W002,445,447.00958
2023-01-08,P0004,W003,358,353.78387
2023-01-08,P0004,W004,323,357.7586
2023-01-08,P0004,W005,495,461.3781
2023-01-08,P0004,W006,263,296.14417
2023-01-08,P0005,W001,40,39.113613
2023-01-08,P0005,W002,66,63.852993
2023-01-08,P0005,W003,92,92.935936
2023-01-08,P0005,W004,96,98.564575
2023-01-08,P0005,W005,59,61.03615
2023-01-08,P0005,W006,66,67.22986
2023-01-08,P0006,W001,74,83.29217
2023-01-08,P0006,W002,96,106.905426
2023-01-08,P0006,W003,111,118.78282
2023-01-08,P0006,W004,55,53.022243
2023-01-08,P0006,W005,119,115.78465
2023-01-08,P0006,W006,87,89.81316
2023-01-08,P0007,W001,74,74.34239
2023-01-08,P0007,W002,186,171.14343
2023-01-08,P0007,W003,92,91.74043
2023-01-08,P0007,W004,235,215.91406
2023-01-08,P0007,W005,125,137.1488
2023-01-08,P0007,W006,77,77.70679
2023-01-08,P0008,W001,151,147.30904
2023-01-08,P0008,W002,332,337.41925
2023-01-08,P0008,W003,195,185.82129
2023-01-08,P0008,W004,178,187.70863
2023-01-08,P0008,W005,174,170.76517
2023-01-08,P0008,W006,322,309.27747
2023-01-08,P0009,W001,81,82.19171
2023-01-08,P0009,W002,112,123.614296
2023-01-08,P0009,W003,159,156.24811
2023-01-08,P0009,W004,169,180.6815
2023-01-08,P0009,W005,217,202.49802
2023-01-08,P0009,W006,95,106.48888
2023-01-08,P0010,W001,484,454.18332
2023-01-08,P0010,W002,234,238.92719
2023-01-08,P0010,W003,536,511.00497
2023-01-08,P0010,W004,320,319.5656
2023-01-08,P0010,W005,400,423.0543
2023-01-08,P0010,W006,454,463.3904
2023-01-08,P0011,W001,85,86.8002
2023-01-08,P0011,W002,84,78.84156
2023-01-08,P0011,W003,184,181.13675
2023-01-08,P0011,W004,92,85.0497
2023-01-08,P0011,W005,71,74.95971
2023-01-08,P0011,W006,166,178.57681
2023-01-08,P0012,W001,144,131.69199
2023-01-08,P0012,W002,155,146.51964
2023-01-08,P0012,W003,131,122.92791
2023-01-08,P0012,W004,140,136.4696
2023-01-08,P0012,W005,133,148.34288
2023-01-08,P0012,W006,118,118.78111
2023-01-08,P0013,W001,219,237.2579
2023-01-08,P0013,W002,406,413.81628
2023-01-08,P0013,W003,341,338.58337
2023-01-08,P0013,W004,472,463.7472
2023-01-08,P0013,W005,211,207.99261
2023-01-08,P0013,W006,186,189.4444
2023-01-08,P0014,W001,166,173.6322
2023-01-08,P0014,W002,121,116.53609
2023-01-08,P0014,W003,191,198.98068
2023-01-08,P0014,W004,239,255.95299
2023-01-08,P0014,W005,279,284.3691
2023-01-08,P0014,W006,122,130.80376
2023-01-08,P0015,W001,62,58.77092
2023-01-08,P0015,W002,128,135.25333
2023-01-08,P0015,W003,137,156.18918
2023-01-08,P0015,W004,174,177.07101
2023-01-08,P0015,W005,75,71.41448
2023-01-08,P0015,W006,71,68.15964
2023-01-08,P0016,W001,105,103.635475
2023-01-08,P0016,W002,76,72.60988
2023-01-08,P0016,W003,86,74.98533
2023-01-08,P0016,W004,115,110.16512
2023-01-08,P0016,W005,108,112.165474
2023-01-08,P0016,W006,119,126.44557
2023-01-08,P0017,W001,95,88.204926
2023-01-08,P0017,W002,228,216.16626
2023-01-08,P0017,W003,176,185.18542
2023-01-08,P0017,W004,109,114.64363
2023-01-08,P0017,W005,103,92.4183
2023-01-08,P0017,W006,129,127.006676
2023-01-08,P0018,W001,124,135.12878
2023-01-08,P0018,W002,57,61.93295
2023-01-08,P0018,W003,82,77.14071
2023-01-08,P0018,W004,54,51.44257
2023-01-08,P0018,W005,124,121.75217
2023-01-08,P0018,W006,69,73.734474
2023-01-08,P0019,W001,362,366.92624
2023-01-08,P0019,W002,297,291.25897
2023-01-08,P0019,W003,194,195.36584
2023-01-08,P0019,W004,551,509.40884
2023-01-08,P0019,W005,365,361.30273
2023-01-08,P0019,W006,456,464.9452
2023-01-08,P0020,W001,285,291.1644
2023-01-08,P0020,W002,258,270.13895
2023-01-08,P0020,W003,375,350.44278
2023-01-08,P0020,W004,288,289.6445
2023-01-08,P0020,W005,317,356.53345
2023-01-08,P0020,W006,476,455.5521
2023-01-08,P0021,W001,272,275.7024
2023-01-08,P0021,W002,286,286.94897
2023-01-08,P0021,W003,159,167.97922
2023-01-08,P0021,W004,155,177.71619
2023-01-08,P0021,W005,247,234.23163
2023-01-08,P0021,W006,243,205.52992
2023-01-08,P0022,W001,84,80.77973
2023-01-08,P0022,W002,75,72.3236
2023-01-08,P0022,W003,70,70.862885
2023-01-08,P0022,W004,65,64.3596
2023-01-08,P0022,W005,73,69.86088
2023-01-08,P0022,W006,61,60.260754
2023-01-08,P0023,W001,391,383.38428
2023-01-08,P0023,W002,532,485.10608
2023-01-08,P0023,W003,184,193.5448
2023-01-08,P0023,W004,398,406.92438
2023-01-08,P0023,W005,315,333.62646
2023-01-08,P0023,W006,386,429.67737
