product_id,from_warehouse,to_warehouse,transfer_qty
P0003,W003,W001,164
P0003,W003,W002,233
P0003,W003,W004,169
P0003,W005,W001,164
P0003,W005,W002,233
P0003,W005,W004,210
P0003,W005,W006,31
P0005,W005,W004,317
P0005,W005,W006,37
P0007,W006,W001,5
P0007,W006,W002,94
P0007,W006,W004,187
P0011,W006,W003,191
P0011,W005,W003,191
P0012,W006,W004,95
P0012,W006,W005,108
P0012,W002,W004,95
P0012,W002,W005,108
P0015,W005,W004,398
P0015,W002,W004,398
P0016,W002,W001,89
P0016,W002,W004,92
P0016,W003,W001,89
P0016,W003,W004,92
P0017,W005,W002,151
P0017,W005,W004,93
P0021,W005,W001,307
P0021,W005,W006,146
P0025,W002,W001,162
P0025,W002,W003,334
P0025,W002,W004,22
P0026,W005,W006,150
P0026,W005,W004,46
P0026,W002,W006,150
P0026,W002,W004,46
P0028,W005,W004,113
P0032,W005,W004,70
P0032,W006,W004,70
P0035,W002,W001,81
P0035,W002,W004,32
P0035,W005,W001,81
P0035,W005,W004,32
P0036,W005,W002,329
P0036,W005,W003,366
P0036,W005,W006,388
P0036,W005,W004,182
P0038,W005,W002,65
P0038,W005,W004,24
P0038,W005,W006,403
P0041,W003,W001,79
P0041,W005,W001,79
P0048,W003,W004,27
P0048,W003,W005,152
P0049,W006,W003,26
P0049,W002,W003,26
P0051,W002,W005,12
P0051,W002,W006,229
P0052,W005,W001,2
P0052,W005,W004,59
P0052,W005,W006,503
P0053,W005,W001,131
P0053,W005,W002,101
P0053,W005,W004,68
