product_id,warehouse_id,current_stock
P0001,W001,404
P0002,W001,98
P0003,W001,376
P0004,W001,146
P0005,W001,193
P0006,W001,654
P0007,W001,282
P0008,W001,112
P0009,W001,50
P0010,W001,416
P0011,W001,360
P0012,W001,328
P0013,W001,279
P0014,W001,210
P0015,W001,427
P0016,W001,198
P0017,W001,247
P0018,W001,623
P0019,W001,326
P0020,W001,106
P0021,W001,123
P0022,W001,500
P0023,W001,176
P0024,W001,427
P0025,W001,45
P0026,W001,212
P0027,W001,510
P0028,W001,470
P0029,W001,277
P0030,W001,252
P0031,W001,357
P0032,W001,139
P0033,W001,149
P0034,W001,431
P0035,W001,82
P0036,W001,386
P0037,W001,127
P0038,W001,580
P0039,W001,356
P0040,W001,67
P0041,W001,275
P0042,W001,71
P0043,W001,349
P0044,W001,581
P0045,W001,479
P0046,W001,308
P0047,W001,233
P0048,W001,259
P0049,W001,464
P0050,W001,235
P0051,W001,335
P0052,W001,461
P0053,W001,108
P0054,W001,222
P0055,W001,457
P0056,W001,616
P0057,W001,702
P0058,W001,949
P0059,W001,197
P0060,W001,423
P0001,W002,95
P0002,W002,396
P0003,W002,248
P0004,W002,323
P0005,W002,434
P0006,W002,652
P0007,W002,645
P0008,W002,418
P0009,W002,1213
P0010,W002,265
P0011,W002,223
P0012,W002,1255
P0013,W002,659
P0014,W002,406
P0015,W002,2331
P0016,W002,1021
P0017,W002,132
P0018,W002,171
P0019,W002,140
P0020,W002,325
P0021,W002,530
P0022,W002,145
P0023,W002,418
P0024,W002,475
P0025,W002,775
P0026,W002,871
P0027,W002,181
P0028,W002,194
P0029,W002,93
P0030,W002,1052
P0031,W002,244
P0032,W002,205
P0033,W002,43
P0034,W002,1200
P0035,W002,552
P0036,W002,174
P0037,W002,530
P0038,W002,283
P0039,W002,373
P0040,W002,530
P0041,W002,723
P0042,W002,691
P0043,W002,1027
P0044,W002,537
P0045,W002,1005
P0046,W002,568
P0047,W002,813
P0048,W002,326
P0049,W002,1302
P0050,W002,395
P0051,W002,591
P0052,W002,560
P0053,W002,69
P0054,W002,1014
P0055,W002,151
P0056,W002,736
P0057,W002,247
P0058,W002,1373
P0059,W002,108
P0060,W002,206
P0001,W003,175
P0002,W003,540
P0003,W003,819
P0004,W003,363
P0005,W003,640
P0006,W003,735
P0007,W003,748
P0008,W003,195
P0009,W003,163
P0010,W003,659
P0011,W003,138
P0012,W003,252
P0013,W003,174
P0014,W003,411
P0015,W003,394
P0016,W003,731
P0017,W003,331
P0018,W003,357
P0019,W003,526
P0020,W003,845
P0021,W003,470
P0022,W003,159
P0023,W003,304
P0024,W003,522
P0025,W003,102
P0026,W003,329
P0027,W003,256
P0028,W003,495
P0029,W003,653
P0030,W003,398
P0031,W003,71
P0032,W003,194
P0033,W003,385
P0034,W003,426
P0035,W003,516
P0036,W003,222
P0037,W003,292
P0038,W003,545
P0039,W003,265
P0040,W003,630
P0041,W003,769
P0042,W003,673
P0043,W003,182
P0044,W003,434
P0045,W003,370
P0046,W003,371
P0047,W003,248
P0048,W003,1082
P0049,W003,301
P0050,W003,369
P0051,W003,637
P0052,W003,457
P0053,W003,213
P0054,W003,698
P0055,W003,647
P0056,W003,69
P0057,W003,470
P0058,W003,34
P0059,W003,183
P0060,W003,307
P0001,W004,358
P0002,W004,45
P0003,W004,278
P0004,W004,130
P0005,W004,118
P0006,W004,173
P0007,W004,531
P0008,W004,262
P0009,W004,194
P0010,W004,337
P0011,W004,148
P0012,W004,121
P0013,W004,334
P0014,W004,750
P0015,W004,68
P0016,W004,205
P0017,W004,42
P0018,W004,506
P0019,W004,169
P0020,W004,224
P0021,W004,732
P0022,W004,452
P0023,W004,365
P0024,W004,413
P0025,W004,336
P0026,W004,132
P0027,W004,698
P0028,W004,228
P0029,W004,328
P0030,W004,162
P0031,W004,40
P0032,W004,45
P0033,W004,534
P0034,W004,179
P0035,W004,161
P0036,W004,757
P0037,W004,105
P0038,W004,307
P0039,W004,312
P0040,W004,287
P0041,W004,470
P0042,W004,229
P0043,W004,108
P0044,W004,864
P0045,W004,596
P0046,W004,389
P0047,W004,140
P0048,W004,116
P0049,W004,560
P0050,W004,912
P0051,W004,469
P0052,W004,531
P0053,W004,87
P0054,W004,469
P0055,W004,522
P0056,W004,165
P0057,W004,865
P0058,W004,271
P0059,W004,265
P0060,W004,156
P0001,W005,731
P0002,W005,466
P0003,W005,1660
P0004,W005,1802
P0005,W005,723
P0006,W005,344
P0007,W005,564
P0008,W005,1849
P0009,W005,744
P0010,W005,1448
P0011,W005,607
P0012,W005,112
P0013,W005,348
P0014,W005,690
P0015,W005,1292
P0016,W005,554
P0017,W005,884
P0018,W005,331
P0019,W005,3814
P0020,W005,1401
P0021,W005,1671
P0022,W005,509
P0023,W005,1855
P0024,W005,369
P0025,W005,409
P0026,W005,980
P0027,W005,215
P0028,W005,1125
P0029,W005,1210
P0030,W005,789
P0031,W005,590
P0032,W005,628
P0033,W005,452
P0034,W005,285
P0035,W005,468
P0036,W005,1686
P0037,W005,419
P0038,W005,1526
P0039,W005,202
P0040,W005,627
P0041,W005,801
P0042,W005,949
P0043,W005,1461
P0044,W005,937
P0045,W005,311
P0046,W005,380
P0047,W005,227
P0048,W005,50
P0049,W005,524
P0050,W005,467
P0051,W005,229
P0052,W005,1423
P0053,W005,2119
P0054,W005,117
P0055,W005,547
P0056,W005,1777
P0057,W005,878
P0058,W005,365
P0059,W005,511
P0060,W005,656
P0001,W006,442
P0002,W006,1097
P0003,W006,454
P0004,W006,577
P0005,W006,234
P0006,W006,515
P0007,W006,1056
P0008,W006,910
P0009,W006,873
P0010,W006,199
P0011,W006,979
P0012,W006,1166
P0013,W006,108
P0014,W006,286
P0015,W006,324
P0016,W006,546
P0017,W006,485
P0018,W006,160
P0019,W006,472
P0020,W006,841
P0021,W006,253
P0022,W006,662
P0023,W006,645
P0024,W006,687
P0025,W006,497
P0026,W006,98
P0027,W006,305
P0028,W006,489
P0029,W006,443
P0030,W006,691
P0031,W006,1044
P0032,W006,223
P0033,W006,570
P0034,W006,468
P0035,W006,265
P0036,W006,482
P0037,W006,379
P0038,W006,39
P0039,W006,917
P0040,W006,210
P0041,W006,558
P0042,W006,726
P0043,W006,485
P0044,W006,873
P0045,W006,348
P0046,W006,287
P0047,W006,675
P0048,W006,447
P0049,W006,908
P0050,W006,136
P0051,W006,45
P0052,W006,112
P0053,W006,482
P0054,W006,806
P0055,W006,1144
P0056,W006,475
P0057,W006,88
P0058,W006,153
P0059,W006,260
P0060,W006,529
