product_id,supplier_id
P0001,S011
P0002,S011
P0003,S013
P0003,S011
P0004,S002
P0004,S005
P0005,S003
P0005,S008
P0006,S012
P0007,S009
P0007,S013
P0008,S009
P0009,S014
P0010,S014
P0010,S011
P0011,S003
P0012,S013
P0012,S003
P0013,S010
P0014,S008
P0014,S001
P0015,S015
P0016,S015
P0016,S014
P0017,S004
P0017,S001
P0018,S015
P0019,S002
P0020,S014
P0020,S002
P0021,S003
P0022,S009
P0022,S003
P0023,S009
P0023,S014
P0024,S004
P0024,S009
P0025,S012
P0026,S007
P0026,S011
P0027,S008
P0027,S009
P0028,S002
P0028,S004
P0029,S002
P0030,S001
P0030,S010
P0031,S010
P0032,S001
P0033,S012
P0034,S004
P0035,S015
P0036,S014
P0037,S002
P0037,S009
P0038,S005
P0039,S004
P0039,S009
P0040,S012
P0041,S004
P0041,S013
P0042,S013
P0042,S007
P0043,S002
P0044,S011
P0045,S006
P0045,S007
P0046,S008
P0046,S014
P0047,S011
P0048,S001
P0049,S012
P0049,S006
P0050,S004
P0051,S004
P0052,S003
P0052,S007
P0053,S005
P0054,S004
P0054,S014
P0055,S008
P0056,S001
P0057,S002
P0058,S003
P0059,S008
P0059,S015
P0060,S014
