product_id,product_name,category,unit_cost,unit_price,lifecycle_stage
P0001,Sport Item 1,Sports,190.4,287.68,Growth
P0002,Sport Item 2,Sports,475.6,673.96,Growth
P0003,Grocerie Item 3,Groceries,367.34,684.35,Growth
P0004,Electronic Item 4,Electronics,301.34,447.61,Maturity
P0005,Toy Item 5,Toys,82.23,117.16,Introduction
P0006,Home & Kitchen Item 6,Home & Kitchen,82.22,134.36,Introduction
P0007,Electronic Item 7,Electronics,33.75,44.3,Growth
P0008,Toy Item 8,Toys,433.76,798.88,Maturity
P0009,Toy Item 9,Toys,302.55,381.1,Growth
P0010,Sport Item 10,Sports,355.5,707.27,Maturity
P0011,Home & Kitchen Item 11,Home & Kitchen,15.19,27.61,Growth
P0012,Toy Item 12,Toys,485.11,659.25,Growth
P0013,Electronic Item 13,Electronics,417.06,502.31,Maturity
P0014,Grocerie Item 14,Groceries,110.11,203.96,Maturity
P0015,Apparel Item 15,Apparel,95.0,167.72,Growth
P0016,Grocerie Item 16,Groceries,95.79,170.81,Decline
P0017,Apparel Item 17,Apparel,155.6,282.73,Growth
P0018,Home & Kitchen Item 18,Home & Kitchen,264.75,333.38,Introduction
P0019,Apparel Item 19,Apparel,218.81,325.32,Maturity
P0020,Electronic Item 20,Electronics,149.16,192.82,Maturity
P0021,Toy Item 21,Toys,307.87,582.02,Growth
P0022,Home & Kitchen Item 22,Home & Kitchen,74.05,125.78,Introduction
P0023,Apparel Item 23,Apparel,149.61,219.14,Maturity
P0024,Toy Item 24,Toys,186.35,233.1,Maturity
P0025,Apparel Item 25,Apparel,230.75,334.31,Maturity
P0026,Sport Item 26,Sports,393.66,574.8,Introduction
P0027,Sport Item 27,Sports,103.84,185.22,Growth
P0028,Apparel Item 28,Apparel,259.55,443.84,Decline
P0029,Grocerie Item 29,Groceries,298.25,569.59,Maturity
P0030,Home & Kitchen Item 30,Home & Kitchen,27.99,44.16,Growth
P0031,Sport Item 31,Sports,305.73,396.13,Maturity
P0032,Grocerie Item 32,Groceries,89.41,158.31,Growth
P0033,Grocerie Item 33,Groceries,37.2,67.28,Maturity
P0034,Sport Item 34,Sports,474.7,782.79,Decline
P0035,Sport Item 35,Sports,482.99,877.48,Introduction
P0036,Sport Item 36,Sports,405.16,646.24,Growth
P0037,Sport Item 37,Sports,155.78,252.08,Growth
P0038,Home & Kitchen Item 38,Home & Kitchen,53.35,82.27,Growth
P0039,Sport Item 39,Sports,343.7,419.43,Maturity
P0040,Grocerie Item 40,Groceries,222.88,286.69,Maturity
P0041,Electronic Item 41,Electronics,65.41,80.14,Growth
P0042,Electronic Item 42,Electronics,250.11,427.47,Maturity
P0043,Home & Kitchen Item 43,Home & Kitchen,22.02,31.96,Growth
P0044,Grocerie Item 44,Groceries,455.11,731.3,Decline
P0045,Toy Item 45,Toys,133.1,256.36,Maturity
P0046,Apparel Item 46,Apparel,332.95,465.94,Growth
P0047,Home & Kitchen Item 47,Home & Kitchen,159.3,243.46,Growth
P0048,Sport Item 48,Sports,262.43,473.54,Maturity
P0049,Apparel Item 49,Apparel,275.62,381.19,Growth
P0050,Sport Item 50,Sports,96.5,121.74,Maturity
P0051,Apparel Item 51,Apparel,484.94,694.34,Maturity
P0052,Home & Kitchen Item 52,Home & Kitchen,388.69,516.56,Maturity
P0053,Home & Kitchen Item 53,Home & Kitchen,470.05,913.66,Growth
P0054,Grocerie Item 54,Groceries,447.94,827.12,Maturity
P0055,Electronic Item 55,Electronics,300.96,513.66,Maturity
P0056,Electronic Item 56,Electronics,461.33,875.22,Growth
P0057,Grocerie Item 57,Groceries,48.8,89.94,Maturity
P0058,Home & Kitchen Item 58,Home & Kitchen,102.01,137.64,Maturity
P0059,Home & Kitchen Item 59,Home & Kitchen,27.39,52.43,Growth
P0060,Home & Kitchen Item 60,Home & Kitchen,166.04,270.89,Maturity
