product_id,promo_start,promo_end,discount_pct
P0026,2023-05-01,2023-05-06,25
P0001,2025-03-10,2025-03-17,25
P0019,2025-05-16,2025-05-30,40
P0051,2025-09-23,2025-09-28,15
P0019,2024-03-21,2024-03-24,30
P0048,2023-05-05,2023-05-19,20
P0004,2023-04-13,2023-04-25,25
P0033,2023-11-19,2023-11-22,30
P0006,2024-01-16,2024-01-20,30
P0005,2024-04-26,2024-05-05,10
P0057,2024-05-19,2024-05-31,30
P0003,2023-06-17,2023-06-26,40
P0038,2025-12-06,2025-12-14,20
P0014,2024-10-05,2024-10-11,20
P0026,2023-09-26,2023-10-09,40
P0020,2025-07-25,2025-08-02,10
P0001,2025-07-27,2025-08-08,30
P0007,2023-05-31,2023-06-11,15
P0033,2024-06-27,2024-07-02,20
P0057,2023-05-21,2023-05-27,20
P0019,2023-11-20,2023-11-30,30
P0046,2024-09-11,2024-09-23,40
P0034,2023-01-17,2023-01-30,30
P0020,2023-08-01,2023-08-06,20
P0008,2023-08-08,2023-08-22,30
P0010,2024-07-11,2024-07-18,30
P0014,2024-12-03,2024-12-09,40
P0041,2024-06-24,2024-07-05,25
P0017,2023-04-15,2023-04-19,40
P0028,2024-07-20,2024-07-23,10
P0022,2023-09-25,2023-10-08,20
P0011,2025-06-23,2025-07-04,40
P0028,2023-01-20,2023-01-24,10
P0057,2023-11-02,2023-11-13,10
P0054,2025-01-26,2025-02-07,30
P0010,2025-05-30,2025-06-04,10
P0020,2025-01-16,2025-01-19,20
P0014,2024-05-26,2024-06-08,10
P0023,2025-04-12,2025-04-24,40
P0010,2024-04-29,2024-05-04,15
P0057,2025-04-24,2025-04-27,15
P0048,2024-11-11,2024-11-20,40
P0056,2024-05-23,2024-05-30,15
P0051,2023-08-10,2023-08-19,10
P0055,2025-08-21,2025-08-27,15
P0053,2025-07-31,2025-08-08,20
P0053,2024-04-11,2024-04-17,10
P0043,2024-01-31,2024-02-09,20
P0018,2023-05-23,2023-05-30,20
P0042,2025-11-09,2025-11-18,40
P0054,2024-11-09,2024-11-12,10
P0057,2024-06-18,2024-06-23,30
P0017,2023-03-20,2023-03-24,30
P0028,2024-12-08,2024-12-22,20
P0028,2025-11-13,2025-11-17,25
P0058,2024-01-25,2024-02-01,10
P0046,2025-06-12,2025-06-15,30
P0060,2024-02-08,2024-02-16,25
P0005,2024-11-07,2024-11-19,20
P0043,2023-09-13,2023-09-27,20
P0033,2024-09-25,2024-10-08,25
P0021,2025-04-04,2025-04-18,20
P0036,2023-09-18,2023-09-24,25
P0043,2025-02-15,2025-02-28,40
P0058,2023-12-23,2024-01-04,30
P0020,2025-04-11,2025-04-22,10
P0020,2024-08-10,2024-08-16,25
P0051,2024-10-21,2024-10-31,25
P0029,2024-03-13,2024-03-24,25
P0051,2023-12-14,2023-12-27,10
P0019,2025-11-21,2025-12-04,40
P0040,2024-11-17,2024-11-21,15
P0044,2024-09-27,2024-10-03,15
P0010,2023-02-20,2023-02-23,15
P0031,2023-05-30,2023-06-09,25
P0057,2024-02-03,2024-02-17,40
P0025,2025-10-09,2025-10-18,15
P0010,2023-01-12,2023-01-16,25
P0015,2023-12-27,2024-01-10,30
P0030,2023-04-13,2023-04-24,15
P0059,2023-09-06,2023-09-16,15
P0052,2025-08-09,2025-08-22,30
P0036,2024-10-11,2024-10-21,30
P0053,2025-10-30,2025-11-08,30
P0029,2023-11-22,2023-12-06,25
P0029,2024-06-14,2024-06-20,40
P0018,2025-12-03,2025-12-13,40
P0016,2024-07-16,2024-07-26,10
P0046,2024-08-08,2024-08-14,20
P0022,2024-10-16,2024-10-27,10
P0009,2023-11-05,2023-11-11,25
P0045,2023-11-09,2023-11-23,15
P0005,2025-04-29,2025-05-08,20
P0035,2025-08-12,2025-08-21,10
P0014,2025-05-10,2025-05-19,30
P0045,2023-02-10,2023-02-22,25
P0031,2023-01-13,2023-01-21,20
P0049,2025-03-09,2025-03-18,30
P0048,2024-03-27,2024-04-06,15
P0018,2025-06-11,2025-06-21,10
P0025,2024-11-19,2024-12-02,40
P0052,2025-04-08,2025-04-22,15
P0054,2025-08-15,2025-08-20,30
P0035,2023-02-25,2023-03-06,30
P0037,2023-02-25,2023-03-01,40
P0028,2023-10-05,2023-10-15,15
P0004,2024-06-16,2024-06-25,20
P0014,2025-07-20,2025-07-28,20
P0049,2025-02-15,2025-02-22,25
P0017,2023-06-17,2023-06-27,10
P0048,2023-04-17,2023-04-25,15
P0042,2023-05-21,2023-06-03,10
P0049,2023-03-05,2023-03-11,15
P0054,2023-02-11,2023-02-23,15
P0016,2023-09-16,2023-09-26,40
P0008,2024-03-22,2024-04-01,40
P0017,2025-01-25,2025-01-30,30
P0039,2023-08-23,2023-08-28,20
P0007,2023-02-22,2023-03-01,30
P0044,2025-02-07,2025-02-16,40
P0013,2023-06-05,2023-06-17,40
P0054,2024-05-12,2024-05-16,40
P0050,2024-09-09,2024-09-22,30
P0052,2023-09-05,2023-09-17,10
P0023,2025-05-27,2025-06-09,20
P0005,2025-11-02,2025-11-15,20
P0001,2025-05-10,2025-05-20,10
P0028,2025-01-11,2025-01-24,25
P0046,2023-11-10,2023-11-19,15
P0047,2025-12-04,2025-12-17,20
P0040,2025-09-17,2025-09-27,25
P0053,2024-07-03,2024-07-11,15
P0054,2023-06-27,2023-07-04,25
P0016,2025-08-09,2025-08-21,30
P0043,2025-02-15,2025-02-23,10
P0032,2024-10-27,2024-11-01,25
P0014,2024-12-27,2025-01-03,20
P0018,2024-07-19,2024-07-30,10
P0034,2024-01-27,2024-01-31,15
P0047,2025-04-12,2025-04-22,30
P0049,2024-05-07,2024-05-21,25
P0042,2025-10-02,2025-10-12,10
P0006,2024-08-25,2024-08-31,25
P0045,2024-05-13,2024-05-20,40
P0038,2025-01-25,2025-02-04,30
P0034,2024-12-05,2024-12-14,40
P0036,2024-11-08,2024-11-16,40
P0030,2024-07-08,2024-07-15,20
P0015,2023-09-05,2023-09-19,15
P0021,2023-09-02,2023-09-16,30
