region,event_date,event_name,demand_impact_multiplier
South,2024-01-15,Sports Event,1.54
South,2024-03-19,Local Holiday,1.48
South,2024-07-20,Concert/Fair,1.27
South,2025-12-10,Concert/Fair,1.39
South,2024-08-02,Regional Festival,1.19
South,2024-02-02,Trade Expo,1.49
South,2024-04-10,Trade Expo,1.54
South,2024-01-03,Trade Expo,1.5
East,2023-01-29,Concert/Fair,1.43
East,2023-09-17,Trade Expo,1.23
East,2023-04-04,Regional Festival,1.21
East,2024-08-21,Sports Event,1.16
East,2025-10-02,Regional Festival,1.27
East,2023-01-26,Concert/Fair,1.29
East,2024-08-05,Local Holiday,1.51
East,2025-09-07,Local Holiday,1.5
West,2024-11-28,Sports Event,1.32
West,2023-04-16,Trade Expo,1.25
West,2025-09-05,Regional Festival,1.26
West,2023-05-14,Local Holiday,1.5
West,2025-10-04,Regional Festival,1.54
West,2023-04-20,Sports Event,1.15
West,2023-11-02,Concert/Fair,1.39
West,2024-09-14,Regional Festival,1.29
Central,2024-05-23,Regional Festival,1.16
Central,2025-05-02,Concert/Fair,1.56
Central,2024-04-07,Concert/Fair,1.31
Central,2025-02-18,Local Holiday,1.18
Central,2025-06-25,Trade Expo,1.25
Central,2025-05-28,Trade Expo,1.16
Central,2023-05-04,Concert/Fair,1.35
Central,2023-07-23,Sports Event,1.11
North,2024-03-08,Trade Expo,1.32
North,2023-06-16,Sports Event,1.32
North,2024-05-06,Sports Event,1.54
North,2023-06-03,Sports Event,1.39
North,2023-01-06,Local Holiday,1.45
North,2025-07-11,Concert/Fair,1.34
North,2025-08-20,Trade Expo,1.21
North,2023-03-08,Sports Event,1.44
