date,warehouse_id,avg_temperature_c,precipitation_mm,is_severe_weather
2023-01-01,W001,22.6,1.0,0
2023-01-02,W001,29.0,1.1,0
2023-01-03,W001,23.6,0.1,0
2023-01-04,W001,32.6,2.0,0
2023-01-05,W001,27.1,0.2,0
2023-01-06,W001,29.8,0.7,0
2023-01-07,W001,31.2,4.3,0
2023-01-08,W001,29.1,1.2,0
2023-01-09,W001,24.9,4.1,0
2023-01-10,W001,35.6,0.4,0
2023-01-11,W001,29.1,0.9,0
2023-01-12,W001,23.6,4.2,0
2023-01-13,W001,28.9,0.5,0
2023-01-14,W001,31.4,1.0,0
2023-01-15,W001,33.1,2.4,0
2023-01-16,W001,29.7,0.3,0
2023-01-17,W001,28.0,3.6,0
2023-01-18,W001,27.6,3.0,0
2023-01-19,W001,28.1,0.4,0
2023-01-20,W001,28.0,3.0,0
2023-01-21,W001,28.3,2.5,0
2023-01-22,W001,30.7,6.0,0
2023-01-23,W001,37.5,0.8,0
2023-01-24,W001,32.1,2.6,0
2023-01-25,W001,30.3,1.5,0
2023-01-26,W001,26.6,0.4,0
2023-01-27,W001,29.7,0.9,0
2023-01-28,W001,32.6,1.2,0
2023-01-29,W001,28.2,2.1,0
2023-01-30,W001,33.7,1.0,0
2023-01-31,W001,38.8,1.4,0
2023-02-01,W001,31.4,10.8,0
2023-02-02,W001,29.5,0.8,0
2023-02-03,W001,30.7,1.4,0
2023-02-04,W001,33.8,0.3,0
2023-02-05,W001,37.1,0.5,0
2023-02-06,W001,33.2,2.2,0
2023-02-07,W001,37.2,3.1,0
2023-02-08,W001,31.8,2.1,0
2023-02-09,W001,36.5,0.5,0
2023-02-10,W001,28.7,2.8,0
2023-02-11,W001,33.1,0.4,0
2023-02-12,W001,34.6,0.9,0
2023-02-13,W001,33.0,0.5,0
2023-02-14,W001,31.9,1.9,0
2023-02-15,W001,38.4,3.9,0
2023-02-16,W001,32.1,0.2,0
2023-02-17,W001,40.9,0.9,0
2023-02-18,W001,34.3,1.6,0
2023-02-19,W001,30.8,4.0,0
2023-02-20,W001,33.2,1.1,0
