feature,psi,drifted
week_of_year,7.8961,True
month,7.5895,True
day_of_year,6.9008,True
month_seasonality_index,6.4701,True
demand_volatility_30d,2.3736,True
quarter,1.0727,True
demand_volatility_14d,0.4818,True
demand_volatility_7d,0.0764,False
sales_velocity_7d,0.0391,False
units_sold_lag_1,0.0355,False
regional_demand_share,0.0342,False
sales_velocity_14d,0.0334,False
units_sold_lag_7,0.0204,False
day_of_week,0.0146,False
sales_velocity_30d,0.0135,False
dow_seasonality_index,0.0025,False
discount_pct,0.0,False
is_holiday,0.0,False
is_weekend,0.0,False
holiday_demand_multiplier,0.0,False
holiday_within_7d,0.0,False
promo_active,0.0,False
avg_lead_time_days,0.0,False
category,0.0,False
reliability_score,0.0,False
lifecycle_stage,0.0,False
unit_cost,0.0,False
unit_price,0.0,False
region,0.0,False
