feature,mean_abs_shap
sales_velocity_30d,6.2169566
sales_velocity_14d,5.593872
sales_velocity_7d,3.5256321
day_of_week,1.6935041
dow_seasonality_index,1.0047021
is_weekend,0.81163234
day_of_year,0.6675468
regional_demand_share,0.37080845
region,0.25789493
demand_volatility_30d,0.23964992
week_of_year,0.23413548
discount_pct,0.23305088
holiday_demand_multiplier,0.21881647
lifecycle_stage,0.21360525
units_sold_lag_7,0.21085678
is_holiday,0.1795506
promo_active,0.1678307
month_seasonality_index,0.14342147
units_sold_lag_1,0.082051225
month,0.06413625
demand_volatility_14d,0.05029124
demand_volatility_7d,0.044159595
unit_cost,0.023728406
avg_lead_time_days,0.02323217
quarter,0.020221192
holiday_within_7d,0.018533662
unit_price,0.017678598
category,0.013647052
reliability_score,0.012825136
